Tank,1,5,9,2,6,12,3,8,10,4,7,11
day4,1.007,1.90467,0.94267,1.623,2.02733,1.95133,1.00333,0.87967,1.396,1.72333,1.00133,0.99767
SD,0.0946,0.22226,0.08456,0.17393,0.21731,0.0686,0.1809,0.06326,0.27966,0.28756,0.17727,0.25422
day7,6.63133,6.12533,55.98,9.34067,14.84867,93.63567,7.058,5.28633,17.75167,8.844,18.65333,6.99
SD,0.04007,0.08923,1.62423,0.11737,0.41746,2.91338,0.27719,0.20047,0.23762,0.19301,0.43879,0.11993
day11,3.623,14.95733,5.211,115.04933,5.4664,2.256,9.823,4.44233,2.57033,5.70067,6.013,2.06633
SD,0.09615,0.57779,0.01229,1.75132,0.3983,0.11895,0.49632,0.16457,0.17305,0.12108,0.13343,0.2665
day14,1.223,4.59067,3.48467,30.61467,7.722,11.34367,22.91667,4.52767,8.61467,6.74767,4.351,3.137
SD,0.27141,0.29368,0.07518,0.87186,0.64577,0.08401,0.59173,0.18538,0.3346,0.05859,0.23132,0.13173
