Day,Tank,nitrate,total dissolved N,total N,reactive P,total dissolved P,total P,Tank,nitrate,total dissolved N,total N,reactive P,total dissolved P,total P,Tank,nitrate,total dissolved N,total N,reactive P,total dissolved P,total P,Tank,nitrate,total dissolved N,total N,reactive P,total dissolved P,total P,Tank,nitrate,total dissolved N,total N,reactive P,total dissolved P,total P,Tank,nitrate,total dissolved N,total N,reactive P,total dissolved P,total P
0,3,2994.1,3349.5,3403.7,63.69,59.74,18.6684825,,,,,,,,,,,,,,,,,,,,,,7,2995.7,3449.1,3551,60.92,71.11,10.46041651,11,2947.2,3406.3,3657.6,58.32,75.72,14.81687121
4,3,2906.9,3482.8,3436.4,61.17,64.2,8.290439044,8,2992.9,3615,3583.2,53.88,34.12,12.57290526,10,2903.2,3346.2,3373.6,60.57,61.27,11.24189037,4,2999.1,3405.7,3473.3,61.83,65.89,9.819693515,7,2932,3577.6,3622.9,54.87,59.09,20.34343592,11,2921.9,3394.1,3480.3,44.5,48.19,26.80909718
7,3,2947.1,3141.9,3243.3,52.4,52.28,15.41932654,8,2950.07,3228.4,3253.7,39.9,39.61,22.2254361,10,2889.24,3054.9,3107.8,49.45,52.75,13.32070588,4,2787.46,3099.5,3176.3,7.18,13.22,52.99290065,7,2528.93,2859.6,2967.2,4.94,13.22,37.46848392,11,2413.02,2546.3,2808.6,3.07,8.67,26.40627448
11,3,2524.43,2726.8,2907.1,5.66,15.43,37.52149024,8,2438.28,2793.8,2924.8,2.54,12,32.65654028,10,2559.31,2680.6,2848.5,0.44,10.99,29.82820065,4,1818.15,2120,2737.8,1.58,8.3,39.65945316,7,1491.27,1793.9,2254.3,3.69,11.97,15.32174903,11,1801.32,1948.7,2177.3,0,8.83,13.89844357
14,3,1841.68,2184.6,2571.5,5.29,11.92,21.16925854,8,1523.68,1866.3,2540.9,6.21,9.24,18.55680965,10,1799.99,2132.1,2630,4.61,7.97,16.72878556,4,1055.07,1384,1670.5,3.01,5.5,18.12313982,7,922.33,1303.7,1806.1,5.76,8.72,13.29681759,11,1325.98,1751.2,1889.3,4.81,6.94,10.08047552
